player_id;team_external_id;player_name_pt;player_name_en;team_name_pt;team_name_en;team_abbreviation;position_code;position_pt;position_en;player_image_url;team_flag_url;rank_avg_speed;avg_speed;speed_runs;sprints;total_distance;rank_speed_runs;rank_sprints;rank_total_distance
439649;285023_43942;;Lewis Hall;;;;;;;;;1360;;;;;1360;1360;1360
486718;285023_43967;;Lewis Morgan;;;;;;;;;1361;;;;;1361;1361;1361
461096;285023_43978;;Liam Gillion;;;;;;;;;1362;;;;;1362;1362;1362
522991;285023_43967;;Liam Mcfarlane;;;;;;;;;1364;;;;;1364;1364;1364
522983;285023_43967;;Liam Morrison;;;;;;;;;1366;;;;;1366;1366;1366
371927;285023_43970;;Linus Wahlqvist;;;;;;;;;1368;;;;;1368;1368;1368
487006;285023_43946;;Loic Bade;;;;;;;;;1375;;;;;1375;1375;1375
448368;285023_43935;;Lois Openda;;;;;;;;;1376;;;;;1376;1376;1376
314107;285023_43928;;Lorenzo Melgarejo;;;;;;;;;1377;;;;;1377;1377;1377
520248;285023_43888;;Louey Ben Farhat;;;;;;;;;1378;;;;;1378;1378;1378
448181;285023_43938;;Lovro Majer;;;;;;;;;1380;;;;;1380;1380;1380
522871;285023_43899;;Luca Petrasso;;;;;;;;;1383;;;;;1383;1383;1383
485661;285023_43946;;Lucas Chevalier;;;;;;;;;1386;;;;;1386;1386;1386
408119;285023_43922;;Lucas Martinez Quarta;;;;;;;;;1390;;;;;1390;1390;1390
508193;285023_43928;;Lucas Romero;;;;;;;;;1393;;;;;1393;1393;1393
520145;285023_43935;;Lucas Stassin;;;;;;;;;1394;;;;;1394;1394;1394
514017;285023_43924;;Luciano Juba;;;;;;;;;1395;;;;;1395;1395;1395
463841;285023_43930;;Luciano Rodriguez;;;;;;;;;1396;;;;;1396;1396;1396
463942;285023_43960;;Luciano Valente;;;;;;;;;1397;;;;;1397;1397;1397
506201;285023_43854;;Luck Zogbe;;;;;;;;;1398;;;;;1398;1398;1398
395264;285023_43970;;Ludwig Augustinsson;;;;;;;;;1399;;;;;1399;1399;1399
523151;285023_43927;;Luis Fragozo;;;;;;;;;1402;;;;;1402;1402;1402
403014;285023_43963;;Luis Maximiano;;;;;;;;;1403;;;;;1403;1403;1403
511759;285023_43899;;Luka Gavran;;;;;;;;;1409;;;;;1409;1409;1409
492369;285023_44037;;Luka Kulenovic;;;;;;;;;1410;;;;;1410;1410;1410
483979;285023_44037;;Luka Menalo;;;;;;;;;1411;;;;;1411;1411;1411
522755;285023_43938;;Luka Stojkovic;;;;;;;;;1413;;;;;1413;1413;1413
523074;285023_43995;;Lukas Ambros;;;;;;;;;1416;;;;;1416;1416;1416
463601;285023_43978;;Lukas Kelly Heald;;;;;;;;;1419;;;;;1419;1419;1419
483968;285023_43995;;Lukas Sadilek;;;;;;;;;1421;;;;;1421;1421;1421
504833;285023_43978;;Luke Brooke Smith;;;;;;;;;1422;;;;;1422;1422;1422
522998;285023_43967;;Luke Graham;;;;;;;;;1423;;;;;1423;1423;1423
336450;285023_43942;;Luke Shaw;;;;;;;;;1425;;;;;1425;1425;1425
491211;285023_43935;;Maarten Vandevoordt;;;;;;;;;1429;;;;;1429;1429;1429
498147;285023_43817;;Mahdi Mohebi;;;;;;;;;1431;;;;;1431;1431;1431
464493;285023_43888;;Mahmoud Ghorbel;;;;;;;;;1435;;;;;1435;1435;1435
448526;285023_43860;;Majeed Ashimeru;;;;;;;;;1437;;;;;1437;1437;1437
464894;285023_44005;;Makhmudjon Makhamadjonov;;;;;;;;;1438;;;;;1438;1438;1438
419178;285023_43879;;Malang Sarr;;;;;;;;;1439;;;;;1439;1439;1439
523137;285023_43927;;Malcom Dacosta;;;;;;;;;1440;;;;;1440;1440;1440
433532;285023_43820;;Malek Shalabiya;;;;;;;;;1441;;;;;1441;1441;1441
491213;285023_43935;;Malick Fofana;;;;;;;;;1442;;;;;1442;1442;1442
423926;285023_43899;;Malik Henry;;;;;;;;;1444;;;;;1444;1444;1444
418802;285023_43879;;Mamadou Camara;;;;;;;;;1447;;;;;1447;1447;1447
520224;285023_43879;;Mamadou Diakhon;;;;;;;;;1448;;;;;1448;1448;1448
418790;285023_43879;;Mamadou Mbow;;;;;;;;;1449;;;;;1449;1449;1449
483293;285023_43935;;Mandela Keita;;;;;;;;;1451;;;;;1451;1451;1451
523178;285023_43860;;Manu Duah;;;;;;;;;1452;;;;;1452;1452;1452
448563;285023_43819;;Mao Hosoya;;;;;;;;;1457;;;;;1457;1457;1457
474937;285023_43969;;Marc Bernal;;;;;;;;;1459;;;;;1459;1459;1459
518382;285023_20014;;Marc Bola;;;;;;;;;1460;;;;;1460;1460;1460
448053;285023_43899;;Marcelo Flores;;;;mf;;;;;1466;;;;;1466;1466;1466
386316;285023_43930;;Marcelo Saracchi;;;;;;;;;1467;;;;;1467;1467;1467
441090;285023_43934;;Marco Gruell;;;;;;;;;1470;;;;;1470;1470;1470
476341;285023_43922;;Marco Pellegrino;;;;;;;;;1472;;;;;1472;1472;1472
401204;285023_43922;;Marcos Acuna;;;;;;;;;1473;;;;;1473;1473;1473
504939;285023_43976;;Marcus Younis;;;;;;;;;1479;;;;;1479;1479;1479
448357;285023_20014;;Mario Stroeykens;;;;;;;;;1482;;;;;1482;1482;1482
512467;285023_43872;;Marouane Louadni;;;;;;;;;1489;;;;;1489;1489;1489
372320;285023_43888;;Marouane Sahraoui;;;;;;;;;1490;;;;;1490;1490;1490
520144;285023_43854;;Martial Godo;;;;;;;;;1493;;;;;1493;1493;1493
430431;285023_43976;;Martin Boyle;;;;;;;;;1495;;;;;1495;1495;1495
491238;285023_43995;;Martin Jedlicka;;;;;;;;;1498;;;;;1498;1498;1498
476088;285023_43914;;Martin Krug;;;;;;;;;1499;;;;;1499;1499;1499
483956;285023_43995;;Martin Vitik;;;;;;;;;1501;;;;;1501;1501;1501
477359;285023_43835;;Marwan Alsahafi;;;;;;;;;1506;;;;;1506;1506;1506
419420;285023_43834;;Marwan Badreldin;;;;;;;;;1507;;;;;1507;1507;1507
523216;285023_43817;;Masoud Mohebbi;;;;;;;;;1509;;;;;1509;1509;1509
523117;285023_43995;;Matej Hadas;;;;;;;;;1510;;;;;1510;1510;1510
489739;285023_43995;;Matej Rynes;;;;;;;;;1512;;;;;1512;1512;1512
360749;285023_43995;;Matej Vydra;;;;;;;;;1513;;;;;1513;1513;1513
463132;285023_43928;;Mateo Gamarra;;;;;;;;;1515;;;;;1515;1515;1515
520237;285023_43963;;Mateus Fernandes;;;;;;;;;1517;;;;;1517;1517;1517
439597;285023_43924;;Matheus Pereira;;;;;;;;;1520;;;;;1520;1520;1520
405185;285023_43961;;Mathias Dyngeland;;;;;;;;;1523;;;;;1523;1523;1523
386222;285023_43934;;Mathias Honsak;;;;;;;;;1524;;;;;1524;1524;1524
428012;285023_43928;;Mathias Villasanti;;;;;;;;;1526;;;;;1526;1526;1526
463859;285023_43930;;Matias Abaldo;;;;;;;;;1528;;;;;1528;1528;1528
441419;285023_43922;;Matias Soule;;;;;;;;;1531;;;;;1531;1531;1531
491212;285023_43935;;Matte Smets;;;;;;;;;1536;;;;;1536;1536;1536
419164;285023_43946;;Matteo Guendouzi;;;;;;;;;1537;;;;;1537;1537;1537
463594;285023_43978;;Matthew Dibley Dias;;;;;;;;;1538;;;;;1538;1538;1538
423596;285023_43978;;Matthew Garbett;;;;mf;;;;;1539;;;;;1539;1539;1539
463609;285023_43978;;Matthew Sheridan;;;;;;;;;1540;;;;;1540;1540;1540
379736;285023_43948;;Matthias Ginter;;;;;;;;;1541;;;;;1541;1541;1541
483265;285023_43934;;Matthias Seidl;;;;;;;;;1542;;;;;1542;1542;1542
522711;285023_43946;;Matthieu Udol;;;;;;;;;1544;;;;;1544;1544;1544
404560;285023_43960;;Matthijs De Ligt;;;;;;;;;1545;;;;;1545;1545;1545
398654;285023_43935;;Matz Sels;;;;;;;;;1547;;;;;1547;1547;1547
386282;285023_43930;;Mauro Arambarri;;;;;;;;;1549;;;;;1549;1549;1549
492182;285023_43976;;Max Balard;;;;;;;;;1551;;;;;1551;1551;1551
489485;285023_43967;;Max Johnston;;;;;;;;;1553;;;;;1553;1553;1553
405474;285023_43978;;Max Mata;;;;;;;;;1554;;;;;1554;1554;1554
403130;285023_43948;;Maximilian Mittelstaedt;;;;;;;;;1560;;;;;1560;1560;1560
406711;285023_43934;;Maximilian Woeber;;;;;;;;;1561;;;;;1561;1561;1561
463670;285023_43922;;Maximo Perrone;;;;;;;;;1562;;;;;1562;1562;1562
405685;285023_43818;;Maytham Jabbar;;;;;;;;;1563;;;;;1563;1563;1563
511012;285023_43843;;Mehdi Dorval;;;;;;;;;1565;;;;;1565;1565;1565
498510;285023_43817;;Mehdi Hashemnejad;;;;;;;;;1567;;;;;1567;1567;1567
519956;285023_43970;;Melker Ellborg;;;;;;;;;1570;;;;;1570;1570;1570
523224;285023_43817;;Mersad Seifi;;;;;;;;;1575;;;;;1575;1575;1575
522290;285023_43971;;Michael Heule;;;;;;;;;1582;;;;;1582;1582;1582
506093;285023_43995;;Michal Beran;;;;;;;;;1586;;;;;1586;1586;1586
378835;285023_43935;;Michy Batshuayi;;;;;;;;;1589;;;;;1589;1589;1589
507768;285023_43908;;Miguel Joseph;;;;;;;;;1592;;;;;1592;1592;1592
489700;285023_43930;;Miguel Merentiel;;;;;;;;;1593;;;;;1593;1593;1593
520146;285023_43935;;Mika Godts;;;;;;;;;1595;;;;;1595;1595;1595
371430;285023_43908;;Mikael Cantave;;;;;;;;;1596;;;;;1596;1596;1596
395271;285023_43970;;Mikael Ishak;;;;;;;;;1597;;;;;1597;1597;1597
494890;285023_43922;;Milton Delgado;;;;;;;;;1605;;;;;1605;1605;1605
522651;285023_43948;;Mio Backhaus;;;;;;;;;1606;;;;;1606;1606;1606
448163;285023_43938;;Mislav Orsic;;;;;;;;;1608;;;;;1608;1608;1608
431745;285023_43976;;Mitchell Duke;;;;;;;;;1609;;;;;1609;1609;1609
478980;285023_43820;;Mohamed Abukhalil;;;;;;;;;1612;;;;;1612;1612;1612
416591;285023_43888;;Mohamed Ali Ben Romdhane;;;;;;;;;1614;;;;;1614;1614;1614
486535;285023_43818;;Mohamed Altaay;;;;;;;;;1615;;;;;1615;1615;1615
512118;285023_43843;;Mohamed Azzi;;;;;;;;;1619;;;;;1619;1619;1619
477808;285023_43843;;Mohamed Belloumi;;;;;;;;;1620;;;;;1620;1620;1620
433411;285023_43872;;Mohamed Chibi;;;;;;;;;1621;;;;;1621;1621;1621
486282;285023_43854;;Mohamed Diomande;;;;;;;;;1622;;;;;1622;1622;1622
372325;285023_43888;;Mohamed Drager;;;;;;;;;1623;;;;;1623;1623;1623
486383;285023_43843;;Mohamed Farsi;;;;;;;;;1625;;;;;1625;1625;1625
440354;285023_43843;;Mohamed Khacef;;;;;;;;;1629;;;;;1629;1629;1629
486605;285023_43834;;Mohamed Khaled;;;;;;;;;1630;;;;;1630;1630;1630
506261;285023_43855;;Mohamed Rabia;;;;;;;;;1633;;;;;1633;1633;1633
512473;285023_43872;;Mohamed Rabie Hrimat;;;;;;;;;1634;;;;;1634;1634;1634
483169;285023_43855;;Mohamed Shehata;;;;;;;;;1636;;;;;1636;1636;1636
511882;285023_43820;;Mohammad Alkloub;;;;;;;;;1643;;;;;1643;1643;1643
448500;285023_43817;;Mohammad Khodabandelo;;;;;;;;;1645;;;;;1645;1645;1645
479070;285023_43817;;Mohammadjavad Hosseinnezhad;;;;;;;;;1647;;;;;1647;1647;1647
498463;285023_43818;;Mohammed Jawad;;;;;;;;;1650;;;;;1650;1650;1650
433437;285023_43835;;Mohammed Khubrani;;;;;;;;;1651;;;;;1651;1651;1651
433568;285023_43818;;Mohammed Qasim;;;;;;;;;1653;;;;;1653;1653;1653
482648;285023_43818;;Mohammed Salih;;;;;;;;;1654;;;;;1654;1654;1654
419449;285023_43834;;Mohammed Waad;;;;;;;;;1655;;;;;1655;1655;1655
433869;285023_43818;;Mohanad Jeahze;;;;;;;;;1657;;;;;1657;1657;1657
397891;285023_43820;;Mohannad Alsouliman;;;;;;;;;1660;;;;;1660;1660;1660
491168;285023_43820;;Mohannad Semreen;;;;;;;;;1661;;;;;1661;1661;1661
511899;285023_43820;;Momen Alsaket;;;;;;;;;1667;;;;;1667;1667;1667
466847;285023_43908;;Mondy Prunier;;;;;;;;;1668;;;;;1668;1668;1668
482873;285023_43843;;Monsef Bakrar;;;;;;;;;1669;;;;;1669;1669;1669
481184;285023_43818;;Montader Madjed;;;;;;;;;1670;;;;;1670;1670;1670
314722;285023_43822;;Moon Seonmin;;;;;;;;;1672;;;;;1672;1672;1672
405838;285023_43942;;Morgan Gibbs White;;;;;;;;;1673;;;;;1673;1673;1673
403808;285023_43948;;Moritz Nicolas;;;;;;;;;1675;;;;;1675;1675;1675
314249;285023_43817;;Morteza Pouraliganji;;;;;;;;;1678;;;;;1678;1678;1678
385410;285023_43978;;Moses Dyer;;;;;;;;;1680;;;;;1680;1680;1680
430468;285023_43855;;Mostafa Mohamed;;;;;;;;;1681;;;;;1681;1681;1681
419159;285023_43946;;Moussa Diaby;;;;;;;;;1687;;;;;1687;1687;1687
425532;285023_43834;;Moustafa Tarek;;;;;;;;;1689;;;;;1689;1689;1689
514407;285023_43834;;Mrwan Hassan;;;;;;;;;1691;;;;;1691;1691;1691
429064;285023_43834;;Mubarak Shanan;;;;;;;;;1693;;;;;1693;1693;1693
484299;285023_44005;;Muhammadrasul Abdumajidov;;;;;;;;;1694;;;;;1694;1694;1694
463284;285023_43934;;Muhammed Cham;;;;;;;;;1695;;;;;1695;1695;1695
481221;285023_44005;;Mukhammadkodir Khamraliev;;;;;;;;;1696;;;;;1696;1696;1696
430519;285023_43835;;Mukhtar Ali;;;;;;;;;1697;;;;;1697;1697;1697
496317;285023_43835;;Murad Alhawsawi;;;;;;;;;1700;;;;;1700;1700;1700
397870;285023_43834;;Musaab Khidir;;;;;;;;;1701;;;;;1701;1701;1701
502743;285023_43972;;Mustafa Eskihellac;;;;;;;;;1703;;;;;1703;1703;1703
475109;285023_43942;;Myles Lewis Skelly;;;;;;;;;1705;;;;;1705;1705;1705
448583;285023_43822;;Na Sangho;;;;;;;;;1706;;;;;1706;1706;1706
486625;285023_43834;;Nabil Irfan;;;;;;;;;1709;;;;;1709;1709;1709
512050;285023_43888;;Nacim Dendani;;;;;;;;;1710;;;;;1710;1710;1710
433371;285023_43888;;Nader Ghandri;;;;;;;;;1711;;;;;1711;1711;1711
386284;285023_43930;;Nahitan Nandez;;;;;;;;;1714;;;;;1714;1714;1714
491229;285023_44037;;Nail Omerovic;;;;;;;;;1716;;;;;1716;1716;1716
441319;285023_43879;;Nampalys Mendy;;;;;;;;;1717;;;;;1717;1717;1717
331166;285023_43819;;Naomichi Ueda;;;;;;;;;1719;;;;;1719;1719;1719
430485;285023_43855;;Nasser Mansy;;;;;;;;;1721;;;;;1721;1721;1721
522339;285023_43924;;Natan;;;;;;;;;1722;;;;;1722;1722;1722
507892;285023_43935;;Nathan De Cat;;;;;;;;;1724;;;;;1724;1724;1724
485451;285023_43921;;Nathan Harriel;;;;;;;;;1725;;;;;1725;1725;1725
466374;285023_1895293;;Nathangelo Markelo;;;;;;;;;1730;;;;;1730;1730;1730
523175;285023_43860;;Nathaniel Adjei;;;;;;;;;1731;;;;;1731;1731;1731
441304;285023_43872;;Nayef Aguerd;;;;df;;;https://digitalhub.fifa.com/transform/509c1663-2038-46b6-9fda-ae45d816425b/AGUERD-Nayef_441304;;1735;;;;;1735;1735;1735
504766;285023_43926;;Neiser Villarreal;;;;;;;;;1738;;;;;1738;1738;1738
486371;285023_43926;;Nelson Deossa;;;;;;;;;1739;;;;;1739;1739;1739
523340;285023_43834;;Niall Mason;;;;;;;;;1745;;;;;1745;1745;1745
389510;285023_43976;;Nicholas Dagostino;;;;;;;;;1746;;;;;1746;1746;1746
411304;285023_43942;;Nick Pope;;;;;;;;;1747;;;;;1747;1747;1747
523048;285023_1895293;;Nicky Souren;;;;;;;;;1749;;;;;1749;1749;1749
395473;285023_43948;;Niclas Fuellkrug;;;;;;;;;1750;;;;;1750;1750;1750
429541;285023_43922;;Nicolas Capaldo;;;;;;;;;1757;;;;;1757;1757;1757
428044;285023_43922;;Nicolas Dominguez;;;;;;;;;1759;;;;;1759;1759;1759
489697;285023_43930;;Nicolas Fonseca;;;;;;;;;1760;;;;;1760;1760;1760
514015;285023_43934;;Nicolas Kristof;;;;;;;;;1762;;;;;1762;1762;1762
486824;285023_43930;;Nicolas Marichal;;;;;;;;;1763;;;;;1763;1763;1763
522648;285023_43948;;Nicolo Tresoldi;;;;;;;;;1769;;;;;1769;1769;1769
487276;285023_43961;;Nikita Haikin;;;;;;;;;1771;;;;;1771;1771;1771
440747;285023_43978;;Niko Kirwan;;;;;;;;;1772;;;;;1772;1772;1772
522869;285023_43899;;Nikola Markovic;;;;;;;;;1775;;;;;1775;1775;1775
385416;285023_43978;;Nikola Tzanev;;;;;;;;;1777;;;;;1777;1777;1777
498502;285023_43934;;Nikolas Polster;;;;;;;;;1780;;;;;1780;1780;1780
498504;285023_43934;;Nikolas Veratschnig;;;;;;;;;1781;;;;;1781;1781;1781
505987;285023_43934;;Nikolaus Wurmbrand;;;;;;;;;1782;;;;;1782;1782;1782
480445;285023_1895293;;Nino Fancito;;;;;;;;;1784;;;;;1784;1784;1784
522877;285023_43899;;Noah Abatneh;;;;;;;;;1790;;;;;1790;1790;1790
522652;285023_43948;;Noah Atubolu;;;;;;;;;1791;;;;;1791;1791;1791
522401;285023_43970;;Noah Eile;;;;;;;;;1792;;;;;1792;1792;1792
520223;285023_43879;;Nobel Mendy;;;;;;;;;1795;;;;;1795;1795;1795
464930;285023_44005;;Nodirbek Abdurazzokov;;;;;;;;;1796;;;;;1796;1796;1796
510890;285023_43970;;Noel Tornqvist;;;;;;;;;1797;;;;;1797;1797;1797
494480;285023_43888;;Noureddine Farhati;;;;;;;;;1801;;;;;1801;1801;1801
448086;285023_43963;;Nuno Tavares;;;;;;;;;1805;;;;;1805;1805;1805
520111;285023_43961;;Odin Bjortuft;;;;;;;;;1810;;;;;1810;1810;1810
390085;285023_43822;;Oh Sehun;;;;;;;;;1813;;;;;1813;1813;1813
523392;285023_43972;;Okan Kocuk;;;;;;;;;1814;;;;;1814;1814;1814
487394;285023_43967;;Oli Mcburnie;;;;;;;;;1815;;;;;1815;1815;1815
401336;285023_43967;;Oliver Burke;;;;;;;;;1817;;;;;1817;1817;1817
483268;285023_43935;;Olivier Deman;;;;;;;;;1818;;;;;1818;1818;1818
512040;285023_43888;;Omar Ben Ali;;;;;;;;;1822;;;;;1822;1822;1822
331845;285023_43914;;Omar Browne;;;;;;;;;1823;;;;;1823;1823;1823
485752;285023_43872;;Omar El Hilali;;;;;;;;;1824;;;;;1824;1824;1824
480447;285023_43914;;Omar Valencia;;;;;;;;;1827;;;;;1827;1827;1827
523124;285023_43995;;Ondrej Kricfalusi;;;;;;;;;1828;;;;;1828;1828;1828
523105;285023_43995;;Ondrej Mihalik;;;;;;;;;1829;;;;;1829;1829;1829
436853;285023_43855;;Osama Faisal;;;;;;;;;1835;;;;;1835;1835;1835
361128;285023_43818;;Osamah Rashid;;;;;;;;;1836;;;;;1836;1836;1836
430715;285023_43969;;Oscar Mingueza;;;;;;;;;1838;;;;;1838;1838;1838
523179;285023_43860;;Oscar Naasei;;;;;;;;;1839;;;;;1839;1839;1839
373340;285023_43928;;Oscar Romero;;;;;;;;;1840;;;;;1840;1840;1840
463504;285023_43927;;Oscar Zambrano;;;;;;;;;1841;;;;;1841;1841;1841
489519;285023_44037;;Osman Hadzikic;;;;;;;;;1842;;;;;1842;1842;1842
505071;285023_43872;;Othmane Maamma;;;;;;;;;1846;;;;;1846;1846;1846
522397;285023_43970;;Otto Rosengren;;;;;;;;;1847;;;;;1847;1847;1847
485750;285023_43872;;Oussama Targhalline;;;;;;;;;1852;;;;;1852;1852;1852
403661;285023_43879;;Ousseynou Niang;;;;;;;;;1853;;;;;1853;1853;1853
390203;285023_43978;;Owen Parker Price;;;;;;;;;1855;;;;;1855;1855;1855
479068;285023_44005;;Oybek Bozorov;;;;;;;;;1856;;;;;1856;1856;1856
484646;285023_43969;;Pablo Barrios;;;;;;;;;1858;;;;;1858;1858;1858
430729;285023_43969;;Pablo Fornals;;;;;;;;;1859;;;;;1859;1859;1859
523345;285023_43879;;Pape Sy;;;;;;;;;1863;;;;;1863;1863;1863
486653;285023_43822;;Park Seungwook;;;;;;;;;1866;;;;;1866;1866;1866
484863;285023_43971;;Pascal Loretz;;;;;;;;;1868;;;;;1868;1868;1868
477851;285023_43850;;Patrick Andrade;;;;;;;;;1870;;;;;1870;1870;1870
485446;285023_43921;;Patrick Schulte;;;;;;;;;1875;;;;;1875;1875;1875
481157;285023_43976;;Patrick Yazbek;;;;;;;;;1877;;;;;1877;1877;1877
398563;285023_43970;;Patrik Carlgren;;;;;;;;;1878;;;;;1878;1878;1878
514163;285023_43995;;Patrik Hellebrand;;;;;;;;;1879;;;;;1879;1879;1879
430721;285023_43969;;Pau Torres;;;;;;;;;1882;;;;;1882;1882;1882
523180;285023_43860;;Paul Reverson;;;;;;;;;1885;;;;;1885;1885;1885
411326;285023_43963;;Paulinho;;;;;;;;;1887;;;;;1887;1887;1887
522489;285023_43850;;Paulo Cardoso;;;;;;;;;1888;;;;;1888;1888;1888
511827;285023_43924;;Paulo Henrique;;;;;;;;;1889;;;;;1889;1889;1889
488064;285023_43995;;Pavel Bucha;;;;;;;;;1890;;;;;1890;1890;1890
464569;285023_43921;;Paxten Aaronson;;;;;;;;;1892;;;;;1892;1892;1892
430600;285023_43924;;Pedro;;;;;;;;;1895;;;;;1895;1895;1895
448088;285023_43963;;Pedro Goncalves;;;;;;;;;1896;;;;;1896;1896;1896
494585;285023_43818;;Peter Gwargis;;;;;;;;;1904;;;;;1904;1904;1904
405836;285023_43942;;Phil Foden;;;;;;;;;1905;;;;;1905;1905;1905
389903;285023_43971;;Philipp Koehn;;;;;;;;;1906;;;;;1906;1906;1906
522642;285023_43948;;Philipp Treu;;;;;;;;;1908;;;;;1908;1908;1908
430706;285023_43946;;Pierre Kalulu;;;;;;;;;1912;;;;;1912;1912;1912
